service_id,service_name,barcode,price_total,works_names,works_prices,works_totals,item_names,item_articles,item_brands,item_quantities,item_prices,item_totals
56479311,"Колесо R20, с/у, монтаж/демонтаж резины, балансировка, комплект.",,5500.0,[],[],[],[],[],[],[],[],[]
56479328,"Колесо R21, с/у, монтаж/демонтаж резины, балансировка, комплект.",,6500.0,[],[],[],[],[],[],[],[],[]
56479414,"Колесо R22, с/у, монтаж/демонтаж резины, балансировка, комплект.",,7300.0,[],[],[],[],[],[],[],[],[]
53894496,Автомобильный слесарный ремонт,,0.0,[],[],[],[],[],[],[],[],[]
53894497,Агрегатная мойка,,500.0,[],[],[],[],[],[],[],[],[]
53894495,Адаптация дроссельной заслонки,,1350.0,[],[],[],[],[],[],[],[],[]
53894842,"АКБ, с/у",,800.0,[],[],[],[],[],[],[],[],[]
53894849,"АКПП, с/у",,6500.0,[],[],[],[],[],[],[],[],[]
53894498,Активация ключа,,500.0,[],[],[],[],[],[],[],[],[]
53894852,"Амортизатор задний, с/у",,1550.0,[],[],[],[],[],[],[],[],[]
53894499,"Амортизатор крышки багажника, с/у",,300.0,[],[],[],[],[],[],[],[],[]
53894850,"Амортизатор передний, с/у",,2850.0,[],[],[],[],[],[],[],[],[]
53894825,"Амортизаторы капота, установка",,300.0,[],[],[],[],[],[],[],[],[]
53894500,Антибактериальная обработка испарителя кондиционера,,950.0,[],[],[],[],[],[],[],[],[]
53894838,Бак топливный с/у,,5000.0,[],[],[],[],[],[],[],[],[]
53894848,"Балка заднего моста, с/у",,9000.0,[],[],[],[],[],[],[],[],[]
53894851,"Бампер задний без парк., с/у",,2550.0,[],[],[],[],[],[],[],[],[]
53894853,"Бампер задний с парк., с/у",,2650.0,[],[],[],[],[],[],[],[],[]
53894822,"Бампер передний Tiguan, с/у",,2000.0,[],[],[],[],[],[],[],[],[]
53894837,"Бампер передний + решетки в бампер, с/у",,2500.0,[],[],[],[],[],[],[],[],[]
53894858,"Бампер передний с ПТФ + решетки в бампер, с/у",,2500.0,[],[],[],[],[],[],[],[],[]
53894503,Барабан тормозной с/у,,1500.0,[],[],[],[],[],[],[],[],[]
